temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,daylight_duration,sunshine_duration,rain_sum,showers_sum,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,status
33.626,25.776,40.10872,32.191406,45563.02,37324.42,0.0,1.2,1.2,6.0,10.24578,21.24,139.07634,Rain showers
34.976,25.726,41.625587,32.208847,45585.223,36252.08,0.1,6.3,6.4,8.0,10.182337,24.48,159.94386,Thunderstorm
32.426003,25.876,38.731262,32.037766,45606.824,23055.826,0.4,0.4,0.8000001,5.0,8.854829,20.16,332.10272,Rain
31.776,25.976,38.302937,32.427383,45627.777,27392.154,0.0,14.4,14.4,16.0,10.308831,19.44,193.11865,Thunderstorm
30.825998,25.376,38.07722,31.345432,45648.062,35942.15,0.0,8.2,8.2,17.0,9.007196,18.359999,145.7714,Thunderstorm
31.626,25.226,38.32228,31.144913,45667.652,34585.535,0.0,6.2999997,6.2999997,9.0,11.246759,25.919998,136.46877,Thunderstorm
33.026,25.626,40.358345,31.96814,45686.516,37141.164,0.0,0.5,0.5,3.0,6.849467,14.04,131.2569,Rain showers
33.426003,26.425999,39.296032,33.20816,45704.63,29380.678,0.0,9.5,9.5,16.0,10.703569,21.599998,156.03752,Thunderstorm
33.876,25.876,39.845585,32.445423,45722.117,30763.182,0.0,7.1,7.1,11.0,8.049845,14.759999,212.81137,Thunderstorm
31.376,25.126,38.078217,30.612778,45739.047,11868.072,1.2,30.800001,32.1,17.0,8.209263,26.64,200.95584,Thunderstorm
32.476,25.425999,36.905155,31.690304,45755.39,30749.04,1.5000001,2.0,3.5,7.0,12.303366,31.319998,262.641,Thunderstorm
33.026,25.726,38.093075,31.900002,45771.14,38401.1,0.0,3.6,3.6,6.0,14.917212,37.8,249.49945,Thunderstorm
33.326,25.226,39.606243,30.971718,45786.285,35434.426,0.0,7.3,7.3,9.0,13.202726,36.0,237.37155,Thunderstorm
32.726,26.276,38.249714,32.61992,45800.8,28618.31,0.0,14.000002,14.000002,12.0,13.661038,40.32,235.61353,Thunderstorm
31.626,26.175999,37.204826,32.721703,45814.67,30512.604,0.0,7.8999996,7.8999996,10.0,15.158522,45.0,242.3806,Thunderstorm
31.925999,25.575998,39.686527,31.925,45827.887,36130.35,0.0,4.2000003,4.2000003,7.0,11.177405,25.56,240.40588,Thunderstorm
33.026,25.175999,39.630707,31.411812,45840.426,42198.223,0.0,0.8,0.8,6.0,10.853866,23.759998,238.85147,Rain showers
33.176003,26.126,38.890766,32.613285,45852.28,35675.81,0.0,12.200001,12.200001,13.0,12.397806,30.599998,238.64072,Thunderstorm
32.026,25.776,38.086227,31.81902,45863.434,27536.178,0.0,20.199999,20.299997,18.0,10.514218,27.0,214.49855,Thunderstorm
30.976,25.675999,36.768383,31.54845,45873.86,22206.46,0.0,4.8,4.8,11.0,9.885262,33.839996,220.08894,Thunderstorm
31.526,25.575998,38.052357,31.620258,45883.56,30179.133,0.0,9.900001,9.900001,14.0,9.605998,31.68,236.54663,Thunderstorm
30.626,25.425999,36.54786,31.364136,45892.504,29306.695,0.3,15.799999,16.1,14.0,14.05845,38.88,245.86586,Thunderstorm
28.675999,25.476,34.590347,31.3628,45900.688,0.0,1.5999999,28.300001,30.000002,11.0,11.841756,38.16,258.30173,Thunderstorm
29.626,24.626,33.724545,29.838947,45908.094,0.0,0.1,0.0,0.1,1.0,17.581125,36.719997,245.45352,Rain
31.175999,25.476,36.404182,31.015823,45914.703,26179.3,0.0,3.7999997,3.7999997,7.0,15.94601,46.44,222.99167,Rain showers
32.076,25.376,38.857014,31.327366,45920.51,34911.535,0.0,4.4999995,4.4999995,9.0,10.495713,36.36,215.24211,Thunderstorm
33.026,25.726,38.908695,31.966785,45925.492,38933.5,0.0,2.2,2.2,4.0,11.770403,27.359999,271.85953,Thunderstorm
33.676003,25.726,40.82412,32.20296,45929.64,36462.246,0.0,10.6,10.6,18.0,9.346143,22.68,281.16473,Thunderstorm
33.126,25.626,40.59387,31.432034,45932.984,36000.0,0.0,15.700001,15.700001,17.0,7.8954163,16.56,158.92921,Thunderstorm
32.876,25.325998,39.34043,30.615467,45935.527,35012.05,0.0,20.100002,20.300001,17.0,8.4042845,16.56,149.29233,Thunderstorm
32.976,26.175999,40.207783,32.518528,45937.277,39073.53,0.0,5.8,5.8,13.0,9.0645685,20.519999,242.22046,Thunderstorm
32.676003,25.476,38.67384,31.318188,45938.242,33857.895,0.0,18.300001,18.2,22.0,7.5942082,19.08,276.70972,Thunderstorm
32.326,25.075998,38.160095,30.637531,45938.43,31025.91,0.0,8.0,8.0,17.0,10.483357,22.319998,211.76698,Thunderstorm
30.726,25.175999,34.136395,29.832699,45937.836,12854.151,0.0,8.199999,8.199999,11.0,15.725037,40.68,226.22488,Thunderstorm
31.726,24.675999,35.52944,29.409542,45936.473,32534.785,0.0,1.1,1.1,4.0,14.512064,36.36,249.54207,Rain showers
